glottocode,name,isocodes,level,macroarea,latitude,longitude
bamu1255,Bamumbo,,dialect,Africa,,
bamu1253,Bamun,bax,language,Africa,5.49017,10.8477
bamu1256,Bamunka,bvm,language,Africa,6.00203,10.5127
bamv1238,Bamvele,,dialect,Africa,,
bamw1238,Bamwe,bmg,language,Africa,2.16773,19.1644
bana1305,Bana,bcw,language,Africa,10.3535,13.6131
bana1285,Banala,,dialect,Africa,,
bana1284,Banama,,dialect,Africa,,
bana1304,Banana,,dialect,Africa,,
bana1309,Banapas,,dialect,Africa,,
band1344,Banda-Bambari,liy,language,Africa,6.21563,20.9827
band1343,Banda-Banda,bpd,language,Africa,6.63889,22.7568
band1347,Banda-Kpaya,,dialect,Africa,,
band1342,Banda-Mbrès,bqk,language,Africa,7.32924,23.0108
band1345,Banda-Ndélé,bfl,language,Africa,8.03339,23.9021
band1348,Banda-Yangere,yaj,language,Africa,3.95763,16.5907
band1352,Bandi,bza,language,Africa,8.207,-10.1886
band1340,Bandial,bqj,language,Africa,12.5258,-16.4245
band1349,Bandobo,,dialect,Africa,,
band1350,Bandougou,,dialect,Africa,,
bane1246,Bane,,dialect,Africa,,
bane1245,Baneka,,dialect,Africa,,
banf1238,Banfora-Sienena,,dialect,Africa,,
bang1357,Bang,,dialect,Africa,,
bang1359,Banga,,dialect,Africa,,
bang1353,Bangala,bxg,language,Africa,3.3466,28.04453
bang1358,Bangang,,dialect,Africa,,
bang1349,Banga (Nigeria),,dialect,Africa,,
bang1362,Bangassogo,,dialect,Africa,,
bang1345,Bangba,bbe,language,Africa,3.39956,28.3138
bang1363,Bangime,dba,language,Africa,14.8116,-3.77092
bang1346,Banginda,,dialect,Africa,,
bang1341,Bangla,,dialect,Africa,,
bang1344,Bang-Ling,,dialect,Africa,,
ngbi1239,Bangminda,,dialect,Africa,,
bang1356,Bangolan,bgj,language,Africa,6.0125,10.667
bang1374,Bangoondi Suku,,dialect,Africa,,
bang1342,Bangoul,,dialect,Africa,,
bang1360,Bangri,,dialect,Africa,,
bang1350,Bangubangu,bnx,language,Africa,-4.31464,27.2438
bang1355,Bangui,,dialect,Africa,,
bang1351,Bangwe,,dialect,Africa,,
bang1343,Bang-Were,,dialect,Africa,,
bang1348,Bangwinji,bsj,language,Africa,9.57157,11.2022
bank1258,Bankagooma,bxw,language,Africa,11.7497,-5.50744
bank1257,Bankal,jjr,dialect,Africa,9.5,10.5
bank1259,Bankan Tey Dogon,dbw,language,Africa,15.06,-2.92
bank1256,Bankon,abb,language,Africa,4.3702,9.6403
bans1248,Bansoa,,dialect,Africa,,
bant1282,Banta,,dialect,Africa,,
bant1284,Banti,,dialect,Africa,,
bany1245,Banya,,dialect,Africa,,
bany1248,Banyam,,dialect,Africa,,
banz1241,Banza,,dialect,Africa,,
baol1242,Baol Sereer,,dialect,Africa,,
baol1238,Baol Wolof,,dialect,Africa,,
baou1238,Baoulé,bci,language,Africa,5.42509,-4.76565
bape1238,Bape,,dialect,Africa,,
bape1239,Bapen,,language,Africa,12.13,-12.79
bapo1238,Bapo,,dialect,Africa,,
bara1395,Bara,,dialect,Africa,,
bara1363,Barabayiiga,,dialect,Africa,,
dato1239,Barabayiiga-Gisamjanga,tcc,language,Africa,-4.4131,35.2321
bara1359,Barabo,,dialect,Africa,,
bare1279,Barain,bva,language,Africa,10.970124,17.911727
bara1365,Baraka,,dialect,Africa,,
bara1364,Baralaka,,dialect,Africa,,
bara1394,Baram,,dialect,Africa,,
bara1362,Barama,bbg,language,Africa,-2.49659,10.6777
bara1369,Bara Malagasy,bhr,language,Africa,-23.9716,45.5937
bara1361,Barambu,brm,language,Africa,3.34642,26.861
bara1358,Barani,,dialect,Africa,,
barc1235,Barclayville Grebo,gry,language,Africa,4.67843,-8.09378
bard1256,Bardangal,,dialect,Africa,,
bede1242,Barde,,dialect,Africa,,
bare1272,Bareko,,dialect,Africa,,
bare1280,Barentu,,dialect,Africa,,
bari1284,Bari,bfa,language,Africa,4.19522,31.0723
bari1241,Barikanchi,bxo,language,Africa,11.989,8.4331
bari1282,Bari (Logo),,dialect,Africa,,
bark1246,Barka,,dialect,Africa,,
bark1245,Barka (Burkina Faso),,dialect,Africa,,
bark1244,Barkoundouba,,dialect,Africa,,
barl1241,Barlavento,,dialect,Africa,,
baro1252,Barombi,bbi,language,Africa,4.64584,9.25261
barr1248,Barrawa,,dialect,Africa,,
baru1266,Barup,,dialect,Africa,,
